Loc	ID	SigQvNum_stat	Coverage_stat	ShufSigQvNum_stat	Coverage_shufStat	Freq_ypred	Coverage_ypred	dip.pval	ks2.pval	Type
chr11:70003687-70003687(-)	chr11_0_70003686	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006202-70006202(+)	chr11_1_70006201	0	20	0	10	nan	nan	nan	nan	nan
chr11:70006336-70006336(+)	chr11_1_70006335	0	19	0	10	nan	nan	nan	nan	nan
chr11:70005637-70005637(-)	chr11_0_70005636	0	20	0	10	nan	nan	nan	nan	nan
chr11:70009063-70009063(+)	chr11_1_70009062	0	20	0	10	nan	nan	nan	nan	nan
chr11:70003688-70003688(+)	chr11_1_70003687	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009197-70009197(+)	chr11_1_70009196	0	20	0	10	nan	nan	nan	nan	nan
chr11:70008801-70008801(+)	chr11_1_70008800	0	21	0	10	nan	nan	nan	nan	nan
chr11:70002989-70002989(-)	chr11_0_70002988	0	19	0	10	nan	nan	nan	nan	nan
chr11:70008539-70008539(+)	chr11_1_70008538	3	19	0	10	0.3333	3.0	0.0519	0.826	nan
chr11:70009805-70009805(-)	chr11_0_70009804	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003638-70003638(-)	chr11_0_70003637	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009543-70009543(-)	chr11_0_70009542	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006415-70006415(+)	chr11_1_70006414	0	17	0	10	nan	nan	nan	nan	nan
chr11:70000207-70000207(-)	chr11_0_70000206	0	14	0	10	nan	nan	nan	nan	nan
chr11:70008885-70008885(-)	chr11_0_70008884	0	22	0	10	nan	nan	nan	nan	nan
chr11:70005850-70005850(-)	chr11_0_70005849	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006365-70006365(-)	chr11_0_70006364	0	18	0	10	nan	nan	nan	nan	nan
chr11:70000594-70000594(-)	chr11_0_70000593	0	14	0	10	nan	nan	nan	nan	nan
chr11:70002847-70002847(+)	chr11_1_70002846	0	20	0	10	nan	nan	nan	nan	nan
chr11:70009622-70009622(-)	chr11_0_70009621	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003851-70003851(-)	chr11_0_70003850	0	20	0	10	nan	nan	nan	nan	nan
chr11:70008964-70008964(-)	chr11_0_70008963	0	20	0	10	nan	nan	nan	nan	nan
chr11:70000158-70000158(-)	chr11_0_70000157	0	14	0	10	nan	nan	nan	nan	nan
chr11:70009747-70009747(-)	chr11_0_70009746	0	17	0	10	nan	nan	nan	nan	nan
chr11:70000411-70000411(-)	chr11_0_70000410	0	15	0	10	nan	nan	nan	nan	nan
chr11:70003322-70003322(+)	chr11_1_70003321	0	17	0	10	nan	nan	nan	nan	nan
chr11:70008831-70008831(+)	chr11_1_70008830	0	20	0	10	nan	nan	nan	nan	nan
chr11:70007099-70007099(-)	chr11_0_70007098	0	20	0	10	nan	nan	nan	nan	nan
chr11:70009835-70009835(-)	chr11_0_70009834	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009876-70009876(+)	chr11_1_70009875	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009573-70009573(-)	chr11_0_70009572	0	19	1	10	nan	nan	nan	nan	nan
chr11:70000674-70000674(+)	chr11_1_70000673	0	12	0	10	nan	nan	nan	nan	nan
chr11:70003802-70003802(-)	chr11_0_70003801	0	20	0	10	nan	nan	nan	nan	nan
chr11:70006317-70006317(+)	chr11_1_70006316	0	20	0	10	nan	nan	nan	nan	nan
chr11:70001457-70001457(+)	chr11_1_70001456	0	17	0	10	nan	nan	nan	nan	nan
chr11:70006529-70006529(-)	chr11_0_70006528	0	16	0	10	nan	nan	nan	nan	nan
chr11:70006133-70006133(-)	chr11_0_70006132	0	19	0	10	nan	nan	nan	nan	nan
chr11:70006966-70006966(+)	chr11_1_70006965	0	20	0	10	nan	nan	nan	nan	nan
chr11:70000362-70000362(-)	chr11_0_70000361	0	14	0	10	nan	nan	nan	nan	nan
chr11:70006663-70006663(-)	chr11_0_70006662	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009044-70009044(+)	chr11_1_70009043	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001407-70001407(-)	chr11_0_70001406	0	17	0	10	nan	nan	nan	nan	nan
chr11:70004184-70004184(+)	chr11_1_70004183	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003922-70003922(+)	chr11_1_70003921	0	17	0	10	nan	nan	nan	nan	nan
chr11:70006396-70006396(+)	chr11_1_70006395	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006134-70006134(+)	chr11_1_70006133	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009777-70009777(-)	chr11_0_70009776	0	17	0	10	nan	nan	nan	nan	nan
chr11:70007179-70007179(+)	chr11_1_70007178	0	21	0	10	nan	nan	nan	nan	nan
chr11:70006783-70006783(+)	chr11_1_70006782	0	21	0	10	nan	nan	nan	nan	nan
chr11:70000971-70000971(-)	chr11_0_70000970	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003748-70003748(+)	chr11_1_70003747	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009257-70009257(+)	chr11_1_70009256	0	21	0	10	nan	nan	nan	nan	nan
chr11:70006521-70006521(+)	chr11_1_70006520	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003486-70003486(+)	chr11_1_70003485	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009906-70009906(+)	chr11_1_70009905	0	17	0	10	nan	nan	nan	nan	nan
chr11:70004135-70004135(+)	chr11_1_70004134	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009603-70009603(-)	chr11_0_70009602	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006867-70006867(-)	chr11_0_70006866	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009644-70009644(+)	chr11_1_70009643	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003436-70003436(-)	chr11_0_70003435	0	17	0	10	nan	nan	nan	nan	nan
chr11:70006609-70006609(+)	chr11_1_70006608	0	20	0	10	nan	nan	nan	nan	nan
chr11:70004481-70004481(-)	chr11_0_70004480	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009990-70009990(-)	chr11_0_70009989	0	17	0	10	nan	nan	nan	nan	nan
chr11:70000788-70000788(-)	chr11_0_70000787	1	16	0	10	nan	nan	nan	nan	nan
chr11:70001225-70001225(+)	chr11_1_70001224	0	16	0	10	nan	nan	nan	nan	nan
chr11:70001833-70001833(-)	chr11_0_70001832	0	13	0	10	nan	nan	nan	nan	nan
chr11:70001437-70001437(-)	chr11_0_70001436	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001571-70001571(-)	chr11_0_70001570	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009595-70009595(+)	chr11_1_70009594	0	18	0	10	nan	nan	nan	nan	nan
chr11:70001700-70001700(+)	chr11_1_70001699	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009807-70009807(-)	chr11_0_70009806	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009941-70009941(-)	chr11_0_70009940	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001001-70001001(-)	chr11_0_70001000	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001042-70001042(+)	chr11_1_70001041	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006947-70006947(+)	chr11_1_70006946	0	19	0	10	nan	nan	nan	nan	nan
chr11:70006813-70006813(+)	chr11_1_70006812	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006551-70006551(+)	chr11_1_70006550	0	17	0	10	nan	nan	nan	nan	nan
chr11:70007159-70007159(-)	chr11_0_70007158	0	21	0	10	nan	nan	nan	nan	nan
chr11:70009674-70009674(+)	chr11_1_70009673	0	16	0	10	nan	nan	nan	nan	nan
chr11:70007026-70007026(+)	chr11_1_70007025	0	19	0	10	nan	nan	nan	nan	nan
chr11:70000993-70000993(+)	chr11_1_70000992	0	17	0	10	nan	nan	nan	nan	nan
chr11:70001467-70001467(-)	chr11_0_70001466	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007506-70007506(-)	chr11_0_70007505	0	18	0	10	nan	nan	nan	nan	nan
chr11:70004724-70004724(-)	chr11_0_70004723	0	16	0	10	nan	nan	nan	nan	nan
chr11:70004066-70004066(-)	chr11_0_70004065	0	20	0	10	nan	nan	nan	nan	nan
chr11:70007239-70007239(+)	chr11_1_70007238	0	21	0	10	nan	nan	nan	nan	nan
chr11:70002117-70002117(+)	chr11_1_70002116	0	19	0	10	nan	nan	nan	nan	nan
chr11:70007585-70007585(-)	chr11_0_70007584	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001418-70001418(-)	chr11_0_70001417	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001552-70001552(-)	chr11_0_70001551	0	19	0	10	nan	nan	nan	nan	nan
chr11:70004716-70004716(+)	chr11_1_70004715	0	15	0	10	nan	nan	nan	nan	nan
chr11:70009788-70009788(-)	chr11_0_70009787	0	16	0	10	nan	nan	nan	nan	nan
chr11:70007190-70007190(+)	chr11_1_70007189	0	22	0	10	nan	nan	nan	nan	nan
chr11:70001934-70001934(+)	chr11_1_70001933	0	19	0	10	nan	nan	nan	nan	nan
chr11:70008235-70008235(+)	chr11_1_70008234	0	18	0	10	nan	nan	nan	nan	nan
chr11:70001631-70001631(-)	chr11_0_70001630	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001235-70001235(-)	chr11_0_70001234	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007140-70007140(-)	chr11_0_70007139	0	19	0	10	nan	nan	nan	nan	nan
chr11:70004146-70004146(+)	chr11_1_70004145	0	19	0	10	nan	nan	nan	nan	nan
chr11:70007274-70007274(-)	chr11_0_70007273	0	15	0	10	nan	nan	nan	nan	nan
chr11:70002018-70002018(-)	chr11_0_70002017	0	21	0	10	nan	nan	nan	nan	nan
chr11:70007656-70007656(+)	chr11_1_70007655	0	20	0	10	nan	nan	nan	nan	nan
chr11:70002281-70002281(+)	chr11_1_70002280	0	18	0	10	nan	nan	nan	nan	nan
chr11:70001448-70001448(-)	chr11_0_70001447	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007353-70007353(-)	chr11_0_70007352	0	19	0	10	nan	nan	nan	nan	nan
chr11:70007394-70007394(+)	chr11_1_70007393	1	21	1	10	nan	nan	nan	nan	nan
chr11:70004359-70004359(+)	chr11_1_70004358	0	18	0	10	nan	nan	nan	nan	nan
chr11:70002231-70002231(-)	chr11_0_70002230	0	20	0	10	nan	nan	nan	nan	nan
chr11:70007740-70007740(-)	chr11_0_70007739	0	17	0	10	nan	nan	nan	nan	nan
chr11:70004746-70004746(+)	chr11_1_70004745	0	16	0	10	nan	nan	nan	nan	nan
chr11:70007478-70007478(-)	chr11_0_70007477	0	19	0	10	nan	nan	nan	nan	nan
chr11:70005354-70005354(-)	chr11_0_70005353	0	19	0	10	nan	nan	nan	nan	nan
chr11:70002360-70002360(+)	chr11_1_70002359	0	19	0	10	nan	nan	nan	nan	nan
chr11:70007345-70007345(+)	chr11_1_70007344	0	20	0	10	nan	nan	nan	nan	nan
chr11:70002048-70002048(-)	chr11_0_70002047	0	20	0	10	nan	nan	nan	nan	nan
chr11:70007953-70007953(-)	chr11_0_70007952	0	20	0	10	nan	nan	nan	nan	nan
chr11:70005742-70005742(+)	chr11_1_70005741	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001915-70001915(+)	chr11_1_70001914	1	18	0	10	nan	nan	nan	nan	nan
chr11:70008428-70008428(-)	chr11_0_70008427	0	19	0	10	nan	nan	nan	nan	nan
chr11:70008166-70008166(-)	chr11_0_70008165	0	17	0	10	nan	nan	nan	nan	nan
chr11:70007904-70007904(-)	chr11_0_70007903	0	20	0	10	nan	nan	nan	nan	nan
chr11:70004910-70004910(+)	chr11_1_70004909	0	18	0	10	nan	nan	nan	nan	nan
chr11:70008949-70008949(-)	chr11_0_70008948	0	20	0	10	nan	nan	nan	nan	nan
chr11:70005955-70005955(+)	chr11_1_70005954	0	20	0	10	nan	nan	nan	nan	nan
chr11:70005559-70005559(+)	chr11_1_70005558	0	19	0	10	nan	nan	nan	nan	nan
chr11:70002128-70002128(+)	chr11_1_70002127	0	17	0	10	nan	nan	nan	nan	nan
chr11:70007637-70007637(+)	chr11_1_70007636	0	19	0	10	nan	nan	nan	nan	nan
chr11:70002474-70002474(-)	chr11_0_70002473	0	19	0	10	nan	nan	nan	nan	nan
chr11:70002515-70002515(+)	chr11_1_70002514	2	20	2	10	nan	nan	nan	nan	nan
chr11:70001816-70001816(-)	chr11_0_70001815	0	18	0	10	nan	nan	nan	nan	nan
chr11:70000129-70000129(+)	chr11_1_70000128	0	15	0	10	nan	nan	nan	nan	nan
chr11:70002861-70002861(-)	chr11_0_70002860	0	21	0	10	nan	nan	nan	nan	nan
chr11:70008766-70008766(-)	chr11_0_70008765	0	15	0	10	nan	nan	nan	nan	nan
chr11:70005073-70005073(-)	chr11_0_70005072	0	16	0	10	nan	nan	nan	nan	nan
chr11:70000079-70000079(-)	chr11_0_70000078	0	14	0	10	nan	nan	nan	nan	nan
chr11:70000213-70000213(-)	chr11_0_70000212	0	15	0	10	nan	nan	nan	nan	nan
chr11:70002990-70002990(+)	chr11_1_70002989	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009020-70009020(+)	chr11_1_70009019	0	20	0	10	nan	nan	nan	nan	nan
chr11:70002812-70002812(-)	chr11_0_70002811	0	20	0	10	nan	nan	nan	nan	nan
chr11:70005589-70005589(+)	chr11_1_70005588	0	16	0	10	nan	nan	nan	nan	nan
chr11:70008321-70008321(-)	chr11_0_70008320	0	14	0	10	nan	nan	nan	nan	nan
chr11:70006197-70006197(-)	chr11_0_70006196	0	18	0	10	nan	nan	nan	nan	nan
chr11:70002679-70002679(+)	chr11_1_70002678	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003287-70003287(-)	chr11_0_70003286	0	19	0	10	nan	nan	nan	nan	nan
chr11:70002891-70002891(-)	chr11_0_70002890	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009233-70009233(+)	chr11_1_70009232	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003154-70003154(+)	chr11_1_70003153	0	19	0	10	nan	nan	nan	nan	nan
chr11:70008663-70008663(+)	chr11_1_70008662	0	21	0	10	nan	nan	nan	nan	nan
chr11:70002708-70002708(-)	chr11_0_70002707	0	23	0	10	nan	nan	nan	nan	nan
chr11:70009009-70009009(-)	chr11_0_70009008	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009050-70009050(+)	chr11_1_70009049	0	21	0	10	nan	nan	nan	nan	nan
chr11:70005619-70005619(+)	chr11_1_70005618	0	19	0	10	nan	nan	nan	nan	nan
chr11:70008351-70008351(-)	chr11_0_70008350	0	16	0	10	nan	nan	nan	nan	nan
chr11:70005357-70005357(+)	chr11_1_70005356	0	16	0	10	nan	nan	nan	nan	nan
chr11:70000456-70000456(-)	chr11_0_70000455	0	12	0	10	nan	nan	nan	nan	nan
chr11:70000060-70000060(-)	chr11_0_70000059	0	14	0	10	nan	nan	nan	nan	nan
chr11:70005965-70005965(-)	chr11_0_70005964	0	21	0	10	nan	nan	nan	nan	nan
chr11:70008614-70008614(+)	chr11_1_70008613	0	18	0	10	nan	nan	nan	nan	nan
chr11:70002313-70002313(+)	chr11_1_70002312	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003317-70003317(-)	chr11_0_70003316	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009659-70009659(+)	chr11_1_70009658	0	17	0	10	nan	nan	nan	nan	nan
chr11:70003055-70003055(-)	chr11_0_70003054	0	18	0	10	nan	nan	nan	nan	nan
chr11:70005570-70005570(+)	chr11_1_70005569	0	19	0	10	nan	nan	nan	nan	nan
chr11:70005704-70005704(+)	chr11_1_70005703	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003442-70003442(-)	chr11_0_70003441	0	19	0	10	nan	nan	nan	nan	nan
chr11:70000448-70000448(+)	chr11_1_70000447	0	13	0	10	nan	nan	nan	nan	nan
chr11:70005916-70005916(-)	chr11_0_70005915	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006353-70006353(+)	chr11_1_70006352	0	19	0	10	nan	nan	nan	nan	nan
chr11:70002526-70002526(+)	chr11_1_70002525	0	19	0	10	nan	nan	nan	nan	nan
chr11:70000794-70000794(-)	chr11_0_70000793	0	16	0	10	nan	nan	nan	nan	nan
chr11:70006303-70006303(-)	chr11_0_70006302	0	20	0	10	nan	nan	nan	nan	nan
chr11:70002872-70002872(-)	chr11_0_70002871	0	22	0	10	nan	nan	nan	nan	nan
chr11:70003309-70003309(+)	chr11_1_70003308	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003006-70003006(-)	chr11_0_70003005	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009426-70009426(-)	chr11_0_70009425	0	19	0	10	nan	nan	nan	nan	nan
chr11:70000923-70000923(+)	chr11_1_70000922	0	17	0	10	nan	nan	nan	nan	nan
chr11:70000661-70000661(+)	chr11_1_70000660	0	13	0	10	nan	nan	nan	nan	nan
chr11:70001007-70001007(-)	chr11_0_70001006	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006912-70006912(-)	chr11_0_70006911	0	20	0	10	nan	nan	nan	nan	nan
chr11:70003522-70003522(+)	chr11_1_70003521	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009427-70009427(+)	chr11_1_70009426	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009031-70009031(+)	chr11_1_70009030	0	18	0	10	nan	nan	nan	nan	nan
chr11:70004130-70004130(-)	chr11_0_70004129	0	20	0	10	nan	nan	nan	nan	nan
chr11:70001136-70001136(+)	chr11_1_70001135	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009773-70009773(-)	chr11_0_70009772	0	18	0	10	nan	nan	nan	nan	nan
chr11:70000437-70000437(-)	chr11_0_70000436	0	14	0	10	nan	nan	nan	nan	nan
chr11:70001086-70001086(-)	chr11_0_70001085	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009852-70009852(-)	chr11_0_70009851	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009456-70009456(-)	chr11_0_70009455	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009893-70009893(+)	chr11_1_70009892	0	16	0	10	nan	nan	nan	nan	nan
chr11:70003685-70003685(-)	chr11_0_70003684	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009590-70009590(-)	chr11_0_70009589	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003423-70003423(-)	chr11_0_70003422	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006200-70006200(+)	chr11_1_70006199	0	19	0	10	nan	nan	nan	nan	nan
chr11:70006808-70006808(-)	chr11_0_70006807	0	19	0	10	nan	nan	nan	nan	nan
chr11:70000641-70000641(-)	chr11_0_70000640	0	15	0	10	nan	nan	nan	nan	nan
chr11:70000379-70000379(-)	chr11_0_70000378	0	15	0	10	nan	nan	nan	nan	nan
chr11:70006284-70006284(-)	chr11_0_70006283	0	20	0	10	nan	nan	nan	nan	nan
chr11:70003552-70003552(+)	chr11_1_70003551	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003156-70003156(+)	chr11_1_70003155	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003290-70003290(+)	chr11_1_70003289	0	18	0	10	nan	nan	nan	nan	nan
chr11:70001424-70001424(-)	chr11_0_70001423	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003898-70003898(-)	chr11_0_70003897	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003502-70003502(-)	chr11_0_70003501	0	18	0	10	nan	nan	nan	nan	nan
chr11:70004335-70004335(+)	chr11_1_70004334	0	18	0	10	nan	nan	nan	nan	nan
chr11:70000508-70000508(+)	chr11_1_70000507	0	12	0	10	nan	nan	nan	nan	nan
chr11:70000642-70000642(+)	chr11_1_70000641	0	12	0	10	nan	nan	nan	nan	nan
chr11:70001291-70001291(+)	chr11_1_70001290	0	17	0	10	nan	nan	nan	nan	nan
chr11:70006800-70006800(+)	chr11_1_70006799	0	20	0	10	nan	nan	nan	nan	nan
chr11:70001503-70001503(-)	chr11_0_70001502	0	18	0	10	nan	nan	nan	nan	nan
chr11:70001637-70001637(-)	chr11_0_70001636	0	19	0	10	nan	nan	nan	nan	nan
chr11:70004152-70004152(+)	chr11_1_70004151	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009620-70009620(-)	chr11_0_70009619	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009661-70009661(+)	chr11_1_70009660	0	20	0	10	nan	nan	nan	nan	nan
chr11:70006230-70006230(+)	chr11_1_70006229	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001067-70001067(-)	chr11_0_70001066	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007013-70007013(+)	chr11_1_70007012	0	19	0	10	nan	nan	nan	nan	nan
chr11:70007621-70007621(-)	chr11_0_70007620	0	17	0	10	nan	nan	nan	nan	nan
chr11:70007225-70007225(-)	chr11_0_70007224	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001192-70001192(-)	chr11_0_70001191	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003928-70003928(-)	chr11_0_70003927	0	19	0	10	nan	nan	nan	nan	nan
chr11:70009874-70009874(+)	chr11_1_70009873	0	17	0	10	nan	nan	nan	nan	nan
chr11:70004365-70004365(+)	chr11_1_70004364	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009612-70009612(+)	chr11_1_70009611	0	18	0	10	nan	nan	nan	nan	nan
chr11:70004315-70004315(-)	chr11_0_70004314	0	19	0	10	nan	nan	nan	nan	nan
chr11:70004752-70004752(+)	chr11_1_70004751	0	16	0	10	nan	nan	nan	nan	nan
chr11:70001717-70001717(+)	chr11_1_70001716	0	17	0	10	nan	nan	nan	nan	nan
chr11:70004053-70004053(-)	chr11_0_70004052	0	17	0	10	nan	nan	nan	nan	nan
chr11:70006830-70006830(+)	chr11_1_70006829	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006964-70006964(+)	chr11_1_70006963	0	14	0	10	nan	nan	nan	nan	nan
chr11:70007438-70007438(-)	chr11_0_70007437	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007310-70007310(-)	chr11_0_70007309	0	20	0	10	nan	nan	nan	nan	nan
chr11:70004182-70004182(+)	chr11_1_70004181	0	16	0	10	nan	nan	nan	nan	nan
chr11:70003920-70003920(+)	chr11_1_70003919	0	19	0	10	nan	nan	nan	nan	nan
chr11:70001534-70001534(+)	chr11_1_70001533	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007043-70007043(+)	chr11_1_70007042	0	19	0	10	nan	nan	nan	nan	nan
chr11:70006781-70006781(+)	chr11_1_70006780	0	17	0	10	nan	nan	nan	nan	nan
chr11:70001618-70001618(-)	chr11_0_70001617	0	18	0	10	nan	nan	nan	nan	nan
chr11:70004395-70004395(+)	chr11_1_70004394	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007127-70007127(-)	chr11_0_70007126	0	19	0	10	nan	nan	nan	nan	nan
chr11:70000960-70000960(-)	chr11_0_70000959	0	19	0	10	nan	nan	nan	nan	nan
chr11:70004479-70004479(-)	chr11_0_70004478	0	16	0	10	nan	nan	nan	nan	nan
chr11:70001089-70001089(+)	chr11_1_70001088	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006994-70006994(+)	chr11_1_70006993	0	18	1	10	nan	nan	nan	nan	nan
chr11:70001697-70001697(-)	chr11_0_70001696	0	19	0	10	nan	nan	nan	nan	nan
chr11:70007602-70007602(-)	chr11_0_70007601	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003950-70003950(+)	chr11_1_70003949	0	18	0	10	nan	nan	nan	nan	nan
chr11:70007989-70007989(-)	chr11_0_70007988	0	20	0	10	nan	nan	nan	nan	nan
chr11:70001302-70001302(+)	chr11_1_70001301	0	17	1	10	nan	nan	nan	nan	nan
chr11:70002213-70002213(+)	chr11_1_70002212	0	20	0	10	nan	nan	nan	nan	nan
chr11:70001951-70001951(+)	chr11_1_70001950	0	18	0	10	nan	nan	nan	nan	nan
